Time,J
0.0,0.025964802
0.001001001001001001,0.025691504
0.002002002002002002,0.025421876
0.003003003003003003,0.025173126
0.004004004004004004,0.0249221
0.005005005005005005,0.02468576
0.006006006006006006,0.024452064
0.007007007007007007,0.024222072
0.008008008008008008,0.023994705
0.009009009009009009,0.02377456
0.01001001001001001,0.023566168
0.011011011011011011,0.023361193
0.012012012012012012,0.023155652
0.013013013013013013,0.022968862
0.014014014014014014,0.022770163
0.015015015015015015,0.022585966
0.016016016016016016,0.022402996
0.017017017017017015,0.022229308
0.018018018018018018,0.022058725
0.01901901901901902,0.02188974
0.02002002002002002,0.021727417
0.02102102102102102,0.021571597
0.022022022022022022,0.021411873
0.023023023023023025,0.021269767
0.024024024024024024,0.021125719
0.025025025025025023,0.020980408
0.026026026026026026,0.020849159
0.02702702702702703,0.020711657
0.028028028028028028,0.020586131
0.029029029029029027,0.02046337
0.03003003003003003,0.020344239
0.031031031031031032,0.020232348
0.03203203203203203,0.020118365
0.03303303303303303,0.02000545
0.03403403403403403,0.019907618
0.035035035035035036,0.019807423
0.036036036036036036,0.019706724
0.037037037037037035,0.019611346
0.03803803803803804,0.019526081
0.03903903903903904,0.019434454
0.04004004004004004,0.019344298
0.04104104104104104,0.019268379
0.04204204204204204,0.019178925
0.043043043043043044,0.019101258
0.044044044044044044,0.019026797
0.04504504504504504,0.018941633
0.04604604604604605,0.018865364
0.04704704704704705,0.018781735
0.04804804804804805,0.018684898
0.04904904904904905,0.018600842
0.050050050050050046,0.018496996
0.05105105105105105,0.01840014
0.05205205205205205,0.018295517
0.05305305305305305,0.018185804
0.05405405405405406,0.018071316
0.055055055055055056,0.01795393
0.056056056056056056,0.017828314
0.057057057057057055,0.017685391
0.058058058058058054,0.017568784
0.05905905905905906,0.01742425
0.06006006006006006,0.017297892
0.06106106106106106,0.017160254
0.062062062062062065,0.01702574
0.06306306306306306,0.01689946
0.06406406406406406,0.016769841
0.06506506506506507,0.016657567
0.06606606606606606,0.016554166
0.06706706706706707,0.016457817
0.06806806806806806,0.016372574
0.06906906906906907,0.016297162
0.07007007007007007,0.016238974
0.07107107107107107,0.016206792
0.07207207207207207,0.016201587
0.07307307307307308,0.016210074
0.07407407407407407,0.016241904
0.07507507507507508,0.016314095
0.07607607607607608,0.016416503
0.07707707707707707,0.016566828
0.07807807807807808,0.016747838
0.07907907907907907,0.016975049
0.08008008008008008,0.017262097
0.08108108108108109,0.01761029
0.08208208208208208,0.018059392
0.08308308308308308,0.018602109
0.08408408408408408,0.01928213
0.08508508508508508,0.020162158
0.08608608608608609,0.021292176
0.08708708708708708,0.022749415
0.08808808808808809,0.024601027
0.0890890890890891,0.026867958
0.09009009009009009,0.02937786
0.09109109109109109,0.031833965
0.0920920920920921,0.03419409
0.09309309309309309,0.037039284
0.0940940940940941,0.041862596
0.09509509509509509,0.052457817
0.0960960960960961,0.08106578
0.0970970970970971,0.16192561
0.0980980980980981,0.3549701
0.0990990990990991,-1.0417408
0.10010010010010009,-27.947697
0.1011011011011011,-19.4015
0.1021021021021021,-12.942922
0.1031031031031031,-10.445318
0.1041041041041041,-9.079278
0.10510510510510511,-8.204142
0.1061061061061061,-7.5809226
0.10710710710710711,-7.1016097
0.10810810810810811,-6.712987
0.1091091091091091,-6.3867297
0.11011011011011011,-6.1062975
0.1111111111111111,-5.8613176
0.11211211211211211,-5.6447268
0.11311311311311312,-5.45151
0.11411411411411411,-5.277912
0.11511511511511512,-5.120956
0.11611611611611611,-4.9782925
0.11711711711711711,-4.8479714
0.11811811811811812,-4.7283483
0.11911911911911911,-4.6181035
0.12012012012012012,-4.516061
0.12112112112112113,-4.421249
0.12212212212212212,-4.332804
0.12312312312312312,-4.2500377
0.12412412412412413,-4.1723514
0.12512512512512514,-4.0992055
0.12612612612612611,-4.030167
0.12712712712712712,-3.9648743
0.12812812812812813,-3.902989
0.12912912912912913,-3.844251
0.13013013013013014,-3.788388
0.13113113113113112,-3.7351968
0.13213213213213212,-3.6845253
0.13313313313313313,-3.636153
0.13413413413413414,-3.5899587
0.13513513513513514,-3.5458121
0.13613613613613612,-3.5035796
0.13713713713713713,-3.4631686
0.13813813813813813,-3.4244351
0.13913913913913914,-3.3873413
0.14014014014014015,-3.3517377
0.14114114114114115,-3.317594
0.14214214214214213,-3.284794
0.14314314314314314,-3.2532854
0.14414414414414414,-3.2229834
0.14514514514514515,-3.1938167
0.14614614614614616,-3.1657257
0.14714714714714713,-3.1386685
0.14814814814814814,-3.1125782
0.14914914914914915,-3.087382
0.15015015015015015,-3.0630686
0.15115115115115116,-3.0395489
0.15215215215215216,-3.0168045
0.15315315315315314,-2.9947846
0.15415415415415415,-2.973438
0.15515515515515516,-2.9527576
0.15615615615615616,-2.9326873
0.15715715715715717,-2.913202
0.15815815815815815,-2.894256
0.15915915915915915,-2.8758273
0.16016016016016016,-2.8578954
0.16116116116116116,-2.8404355
0.16216216216216217,-2.8234289
0.16316316316316315,-2.8068392
0.16416416416416416,-2.7906613
0.16516516516516516,-2.7748613
0.16616616616616617,-2.7594247
0.16716716716716717,-2.7443376
0.16816816816816815,-2.7295878
0.16916916916916916,-2.715154
0.17017017017017017,-2.7010305
0.17117117117117117,-2.687204
0.17217217217217218,-2.6736603
0.17317317317317318,-2.6603804
0.17417417417417416,-2.6473608
0.17517517517517517,-2.634602
0.17617617617617617,-2.62207
0.17717717717717718,-2.6097844
0.1781781781781782,-2.597718
0.17917917917917917,-2.5858684
0.18018018018018017,-2.574236
0.18118118118118118,-2.5628002
0.18218218218218218,-2.5515594
