,Time,J_0,J_1,J_2
0,0.0,-0.06384477773099206,-0.036927879425093124,-0.0693504705268424
1,0.001001001001001001,-0.06422669492894784,-0.03767656938362052,-0.07010475633433089
2,0.002002002002002002,-0.06454153469530866,-0.038451412653131456,-0.07075304523459636
3,0.003003003003003003,-0.06479890446644276,-0.039141052796139775,-0.07114529935643077
4,0.004004004004004004,-0.06499728027847596,-0.039793536222987314,-0.07155811035772786
5,0.005005005005005005,-0.0651097269874299,-0.04030973187855125,-0.07176992707536556
6,0.006006006006006006,-0.06522819347446784,-0.04083584212708047,-0.07187556536518969
7,0.007007007007007007,-0.06523123521765228,-0.04122268407127194,-0.07189727359218523
8,0.008008008008008008,-0.06516263817320578,-0.04158216072681853,-0.07180604984750971
9,0.009009009009009009,-0.06503808851994108,-0.04182311057593324,-0.07162664592033252
10,0.01001001001001001,-0.06487899736384861,-0.042008533113403246,-0.07128249600646086
11,0.011011011011011011,-0.06461031577782705,-0.04208011235459708,-0.07095099409343675
12,0.012012012012012012,-0.06423156145319808,-0.042135333107580664,-0.07042889841250144
13,0.013013013013013013,-0.06382580488570966,-0.04201346048284904,-0.06989950512070209
14,0.014014014014014014,-0.06335339417273644,-0.04184664475178579,-0.0692746929707937
15,0.015015015015015015,-0.06281001238676254,-0.04165258513967274,-0.06852922306279652
16,0.016016016016016016,-0.06223227275768295,-0.04130344725854229,-0.06776174064725637
17,0.017017017017017015,-0.06150668933696579,-0.04091879200859694,-0.06693538778927177
18,0.018018018018018018,-0.06080190671491437,-0.04047770357283298,-0.06603447694214992
19,0.01901901901901902,-0.05999933289422188,-0.03996612792252563,-0.06507554865675047
20,0.02002002002002002,-0.05915522311988752,-0.03940979452454485,-0.06406930595403537
21,0.02102102102102102,-0.058255345196812414,-0.03880565907456912,-0.06300656552775763
22,0.022022022022022022,-0.05730523467354942,-0.03815086379472632,-0.06195057951845229
23,0.023023023023023025,-0.05633621214656159,-0.03745775669813156,-0.06081230778363533
24,0.024024024024024024,-0.05533465171174612,-0.036740082505275495,-0.05965396610554308
25,0.025025025025025023,-0.05428620264865458,-0.03597503056516871,-0.05841553435311653
26,0.026026026026026026,-0.05321136213024147,-0.03521083063969854,-0.057212797953980044
27,0.02702702702702703,-0.052155981175019406,-0.034462016468751244,-0.05597436192329042
28,0.028028028028028028,-0.05102032268769108,-0.033650381679763086,-0.054715618083719164
29,0.029029029029029027,-0.04992504844267387,-0.032831023694598116,-0.05344963553943671
30,0.03003003003003003,-0.048838530070497654,-0.032003578016883694,-0.05212551183649339
31,0.031031031031031032,-0.04770786078006495,-0.031219979035086,-0.05082389310700819
32,0.03203203203203203,-0.04661684043821879,-0.030402748758206144,-0.04949387125088833
33,0.03303303303303303,-0.045530321935075335,-0.029608567710965872,-0.0481909726804588
34,0.03403403403403403,-0.04442659253254533,-0.02883396839024499,-0.04697278952517081
35,0.035035035035035036,-0.04333758165012114,-0.028039542870828882,-0.045660343050258234
36,0.036036036036036036,-0.0422790392767638,-0.027244630735367537,-0.044424160645576194
37,0.037037037037037035,-0.041202373409760185,-0.026490283256862313,-0.043160060682566836
38,0.03803803803803804,-0.0401754537015222,-0.025717446944327094,-0.04190520814154297
39,0.03903903903903904,-0.03910742395964917,-0.024985844887851272,-0.040690797846764326
40,0.04004004004004004,-0.03811449916975107,-0.024254789321275894,-0.039470303076086566
41,0.04104104104104104,-0.037071402664878406,-0.023483109631342813,-0.038295786041999236
42,0.04204204204204204,-0.03609197789046448,-0.022744027599401306,-0.03713239853095729
43,0.043043043043043044,-0.03507387595891487,-0.02198907196725486,-0.03592990744073177
44,0.044044044044044044,-0.03409718912735116,-0.021231379265373107,-0.034813771686458495
45,0.04504504504504504,-0.03307543789560441,-0.020515588392299833,-0.03366114718664903
46,0.04604604604604605,-0.032056848212960176,-0.019729617139091715,-0.03249039994989289
47,0.04704704704704705,-0.03100201398774516,-0.018938295648695203,-0.03139421186642721
48,0.04804804804804805,-0.029949127216241322,-0.01814837088204513,-0.030220180640753824
49,0.04904904904904905,-0.028885414998512715,-0.017317701293450227,-0.02907856442470802
50,0.050050050050050046,-0.0278056479874067,-0.016436798856119594,-0.02790276981977513
51,0.05105105105105105,-0.02665886387694627,-0.015554922759861256,-0.02672831341260462
52,0.05205205205205205,-0.025492008979199454,-0.014670978709773408,-0.02555410077184206
53,0.05305305305305305,-0.024274312498164363,-0.013621192100231383,-0.02424463450006442
54,0.05405405405405406,-0.022984490453382023,-0.01259567085406843,-0.023000849274922075
55,0.055055055055055056,-0.021605330577585846,-0.011463358941455226,-0.021676665991947175
56,0.056056056056056056,-0.020168275623291265,-0.010249737742640264,-0.020270201206130878
57,0.057057057057057055,-0.01861780088074738,-0.008997620030186226,-0.018741862931619835
58,0.058058058058058054,-0.016951961151789874,-0.007593890918542456,-0.01717065019988695
59,0.05905905905905906,-0.015163760272116633,-0.006091398848184326,-0.01552129020240045
60,0.06006006006006006,-0.013263234966871096,-0.004476643113207501,-0.013726157065775624
61,0.06106106106106106,-0.011183184471093455,-0.0027363645326801134,-0.011816996262496104
62,0.062062062062062065,-0.008919837333735359,-0.0008254405310310631,-0.00965356841720677
63,0.06306306306306306,-0.006423934713410517,0.0012786926332069015,-0.007414304807070948
64,0.06406406406406406,-0.0036996721685227385,0.0035810828867397504,-0.004927889061036694
65,0.06506506506506507,-0.0007265553930437818,0.006123873722714279,-0.00220782300175415
66,0.06606606606606606,0.0025699750635510554,0.008910653988095874,0.0007450429601476571
67,0.06706706706706707,0.006197824725376222,0.01199919790263948,0.004064318078718543
