Time,Flux
0.0,-3.8935463
0.0009009009009009009,-3.9037538
0.0018018018018018018,-3.9128234
0.002702702702702703,-3.9207163
0.0036036036036036037,-3.9272046
0.0045045045045045045,-3.9325476
0.005405405405405406,-3.9365647
0.006306306306306306,-3.9392009
0.007207207207207207,-3.9405818
0.008108108108108109,-3.9406052
0.009009009009009009,-3.9393108
0.00990990990990991,-3.9367294
0.010810810810810811,-3.9328694
0.011711711711711712,-3.9277303
0.012612612612612612,-3.9214146
0.013513513513513514,-3.9138434
0.014414414414414415,-3.9051032
0.015315315315315315,-3.8952646
0.016216216216216217,-3.8843277
0.017117117117117116,-3.872457
0.018018018018018018,-3.8594449
0.01891891891891892,-3.8455973
0.01981981981981982,-3.8307922
0.02072072072072072,-3.8151164
0.021621621621621623,-3.7987266
0.02252252252252252,-3.7815328
0.023423423423423424,-3.7635698
0.024324324324324326,-3.7449832
0.025225225225225224,-3.7258122
0.026126126126126126,-3.705994
0.02702702702702703,-3.6857126
0.027927927927927927,-3.664941
0.02882882882882883,-3.643722
0.02972972972972973,-3.622056
0.03063063063063063,-3.599994
0.03153153153153153,-3.5776806
0.032432432432432434,-3.5550475
0.03333333333333333,-3.5320928
0.03423423423423423,-3.508944
0.03513513513513514,-3.4856107
0.036036036036036036,-3.4620774
0.036936936936936934,-3.438391
0.03783783783783784,-3.414589
0.03873873873873874,-3.390738
0.03963963963963964,-3.366777
0.04054054054054054,-3.3427691
0.04144144144144144,-3.3187199
0.04234234234234234,-3.2946668
0.043243243243243246,-3.2706156
0.044144144144144144,-3.246643
0.04504504504504504,-3.2226272
0.04594594594594595,-3.1987035
0.04684684684684685,-3.1748996
0.047747747747747746,-3.1510642
0.04864864864864865,-3.1273916
0.04954954954954955,-3.1038601
0.05045045045045045,-3.0804372
0.051351351351351354,-3.0570254
0.05225225225225225,-3.0338883
0.05315315315315315,-3.010814
0.05405405405405406,-2.9879358
0.054954954954954956,-2.9651318
0.055855855855855854,-2.9425576
0.05675675675675676,-2.9201128
0.05765765765765766,-2.8978524
0.05855855855855856,-2.8758118
0.05945945945945946,-2.8539045
0.06036036036036036,-2.8322344
0.06126126126126126,-2.810745
0.062162162162162166,-2.7893064
0.06306306306306306,-2.768272
0.06396396396396396,-2.7473376
0.06486486486486487,-2.7265916
0.06576576576576576,-2.706022
0.06666666666666667,-2.6857584
0.06756756756756757,-2.6655731
0.06846846846846846,-2.6456313
0.06936936936936937,-2.6259444
0.07027027027027027,-2.6064222
0.07117117117117117,-2.587151
0.07207207207207207,-2.5680015
0.07297297297297298,-2.5490932
0.07387387387387387,-2.530387
0.07477477477477477,-2.5118809
0.07567567567567568,-2.4936256
0.07657657657657657,-2.4755688
0.07747747747747748,-2.4576256
0.07837837837837838,-2.439943
0.07927927927927927,-2.422412
0.08018018018018018,-2.405222
0.08108108108108109,-2.388171
0.08198198198198198,-2.3712282
0.08288288288288288,-2.3545737
0.08378378378378379,-2.3380702
0.08468468468468468,-2.3217685
0.08558558558558559,-2.3056514
0.08648648648648649,-2.2897441
0.08738738738738738,-2.2740293
0.08828828828828829,-2.2585044
0.0891891891891892,-2.2430992
0.09009009009009009,-2.2279158
0.09099099099099099,-2.2129853
0.0918918918918919,-2.1981804
0.09279279279279279,-2.1835678
0.0936936936936937,-2.1691353
0.0945945945945946,-2.1548817
0.09549549549549549,-2.140775
0.0963963963963964,-2.1268332
0.0972972972972973,-2.1130698
0.0981981981981982,-2.099473
0.0990990990990991,-2.0861235
0.1,-2.0728543
0.1009009009009009,-2.0597932
0.1018018018018018,-2.0468986
0.10270270270270271,-2.034161
0.1036036036036036,-2.0214903
0.1045045045045045,-2.0090802
0.10540540540540541,-1.9967977
0.1063063063063063,-1.9846191
0.10720720720720721,-1.9727014
0.10810810810810811,-1.9608524
0.109009009009009,-1.9492035
0.10990990990990991,-1.9376231
0.11081081081081082,-1.9262291
0.11171171171171171,-1.9150685
0.11261261261261261,-1.9038649
0.11351351351351352,-1.892975
0.11441441441441441,-1.8820478
0.11531531531531532,-1.8713638
0.11621621621621622,-1.8608407
0.11711711711711711,-1.850351
0.11801801801801802,-1.8400769
0.11891891891891893,-1.830001
0.11981981981981982,-1.819929
0.12072072072072072,-1.8099983
0.12162162162162163,-1.8002068
0.12252252252252252,-1.7905507
0.12342342342342343,-1.7810142
0.12432432432432433,-1.771611
0.12522522522522522,-1.7622844
0.12612612612612611,-1.7530911
0.12702702702702703,-1.7440666
0.12792792792792793,-1.735142
0.12882882882882882,-1.7263097
0.12972972972972974,-1.7175401
0.13063063063063063,-1.7089097
0.13153153153153152,-1.7003853
0.13243243243243244,-1.6920159
0.13333333333333333,-1.683674
0.13423423423423422,-1.6755457
0.13513513513513514,-1.6673685
0.13603603603603603,-1.65946
0.13693693693693693,-1.6515455
0.13783783783783785,-1.6437273
0.13873873873873874,-1.6360071
0.13963963963963963,-1.6284026
0.14054054054054055,-1.6209334
0.14144144144144144,-1.6135074
0.14234234234234233,-1.6062325
0.14324324324324325,-1.5989928
0.14414414414414414,-1.5918218
0.14504504504504503,-1.5847704
0.14594594594594595,-1.5778152
0.14684684684684685,-1.5709462
0.14774774774774774,-1.5641714
0.14864864864864866,-1.5574359
0.14954954954954955,-1.5508003
0.15045045045045044,-1.5442845
0.15135135135135136,-1.5377568
0.15225225225225225,-1.5314016
0.15315315315315314,-1.5250663
0.15405405405405406,-1.5188622
0.15495495495495495,-1.5127406
0.15585585585585585,-1.5066503
0.15675675675675677,-1.5006229
0.15765765765765766,-1.4946326
0.15855855855855855,-1.488813
