Time,Potential,J_0,J_1,J_2
0.52,4.8,-0.017096759969717823,-0.02003199001046596,-0.021123920916579664
0.53,4.699999999999999,-0.02033046883298084,-0.0227174538813415,-0.024040723554207943
0.54,4.6,-0.02394943917170167,-0.02574803955940297,-0.027349053241778165
0.55,4.5,-0.02792338698054664,-0.02912380953785032,-0.031006639823317528
0.56,4.3999999999999995,-0.03229329833993688,-0.032862402629689313,-0.03503434504091274
0.5700000000000001,4.299999999999999,-0.037101807654835284,-0.03705333900870755,-0.039543463179143146
0.58,4.2,-0.04235675698146224,-0.04168214356468525,-0.044484611484222114
0.59,4.1000000000000005,-0.048025860043708235,-0.046842709416523576,-0.04994250208255835
0.6,4.0,-0.054256649425951764,-0.05254817471723072,-0.05592339838040061
0.61,3.9000000000000004,-0.06100861629238352,-0.05882937798742205,-0.06247516849543899
0.62,3.8,-0.06837645563064143,-0.06573830961133353,-0.06966932071372867
0.63,3.7,-0.07636291329981759,-0.0733575004269369,-0.07755858899326995
0.64,3.5999999999999996,-0.08500804874347523,-0.0817415023338981,-0.08616529253777117
0.65,3.5,-0.09445593919372186,-0.09101558168185875,-0.09557772986590862
0.66,3.3999999999999995,-0.10470044740941375,-0.10118826729012653,-0.10586498788325116
0.67,3.3,-0.11591920559294522,-0.11242678749840707,-0.1172050719615072
0.68,3.1999999999999993,-0.12811240402515978,-0.1247559079201892,-0.12960674823261797
0.6900000000000001,3.0999999999999996,-0.14147677726577967,-0.13841054146178067,-0.14321321819443256
0.7000000000000001,2.999999999999999,-0.15607033029664308,-0.15340390731580555,-0.15810945257544518
0.71,2.9000000000000004,-0.17202821187675,-0.16997936030384153,-0.17453523667063564
0.72,2.8000000000000007,-0.18945957405958325,-0.18820028228219599,-0.19257109879981726
0.73,2.7,-0.20852638059295714,-0.20820916385855526,-0.21240587765350938
0.74,2.5999999999999996,-0.2293755958089605,-0.23008384183049202,-0.23408611759077758
0.75,2.5,-0.2522371644154191,-0.25392636051401496,-0.2576960970181972
0.76,2.4000000000000004,-0.27706977259367704,-0.27983587840572,-0.2836631997488439
0.77,2.3,-0.30412502121180296,-0.3077854588627815,-0.31178774568252265
0.78,2.1999999999999993,-0.33356007328256965,-0.3377929264679551,-0.34189482126384974
0.79,2.0999999999999996,-0.3654605883639306,-0.3699066371191293,-0.3746138873975724
0.8,2.0,-0.3999666287563741,-0.40415227110497653,-0.4097412144765258
0.81,1.8999999999999986,-0.43719255831092596,-0.44047377817332745,-0.4472549157217145
0.8200000000000001,1.799999999999999,-0.47724824910983443,-0.47897474048659205,-0.48712995601817966
0.8300000000000001,1.6999999999999993,-0.5201041987165809,-0.5196419856511056,-0.5296832569874823
0.84,1.5999999999999996,-0.565727339591831,-0.5626077339984477,-0.5744824013672769
0.85,1.5,-0.6141118984669447,-0.6078563793562353,-0.6220466359518468
0.86,1.4000000000000004,-0.6649759928695858,-0.655521952547133,-0.6718787788413465
0.87,1.3000000000000007,-0.7182943029329181,-0.705537551548332,-0.7237911927513778
0.88,1.1999999999999993,-0.7736884276382625,-0.7579595441929996,-0.7779572638683021
0.89,1.0999999999999996,-0.8309520808979869,-0.8128257296048105,-0.8340743854641914
0.9,1.0,-0.8898037159815431,-0.8697678218595684,-0.8917860384099185
